"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d Catalog Price Rules based on ""%s"" attribute have been disabled."
"Actions","Aksi"
"Active","Aktif"
"Add New Rule","Tambah aturan baru"
"An error occurred while deleting the rule. Please review the log and try again.","An error occurred while deleting the rule. Please review the log and try again."
"An error occurred while saving the rule data. Please review the log and try again.","An error occurred while saving the rule data. Please review the log and try again."
"Apply","Terapkan"
"Apply Rules","Terapkan aturan"
"Attribute Set","Atur atribut"
"By Fixed Amount","Oleh jumlah tetap"
"By Percentage of the Original Price","Oleh persentasi dari harga asli"
"Catalog","Katalog"
"Catalog Price Rule","Katalog aturan harga"
"Catalog Price Rules","Katalog aturan harga"
"Category","Kategori"
"Conditions","Kondisi"
"Conditions (leave blank for all products)","Kondisi(biarkan kosong untuk semua produk)"
"Conditions Combination","Kombinasi Kondisi"
"Customer Groups","Grup Pelanggan"
"Date Expire","Masa kadaluarsa"
"Date From","Tanggal dari"
"Date Start","Tanggal mulai"
"Date To","Tanggal ke"
"Description","Deskripsi"
"Discount Amount","Jumlah diskon"
"Edit Rule","Sunting aturan"
"Edit Rule '%s'","Sunting aturan '%s'"
"Enable Discount to Subproducts","Enable Discount to Subproducts"
"Expiration Date","Tanggal Kadaluarsa"
"From Date","Dari tanggal"
"General Information","Informasi Umum"
"ID","ID"
"Inactive","Tidak aktif"
"New Rule","Aturan Baru"
"No","Tidak"
"Options","Opsi"
"Priority","Prioritas"
"Product Attribute","Atribut Produk"
"Promotions","Promosi"
"Rule Information","Informasi aturan"
"Rule Name","Nama Aturan"
"Save and Apply","Simpan dan Terapkan"
"Save and Continue Edit","Simpan dan lanjutkan sunting"
"Start Date","Tanggal mulai"
"Status","Status"
"Stop Further Rules Processing","Aturan Hentikan Pengolahan lebih lanjut"
"The rule has been deleted.","Aturan telah dihapus."
"The rule has been saved.","Aturan telah disimpan."
"The rules have been applied.","Aturan telah diterapkan."
"There are rules that have been changed but were not applied. Only users with exclusive access can apply rules.","There are rules that have been changed but were not applied. Only users with exclusive access can apply rules."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog."
"This rule no longer exists.","Aturan ini tidak ada"
"To Date","Ke Tanggal"
"To Fixed Amount","Ke Nilai Tetap"
"To Percentage of the Original Price","Untuk dipresentasikan pada harga asal"
"Type","Jenis"
"Unable to apply rules.","Tidak dapat menerapkan aturan."
"Unable to find a rule to delete.","Tidak dapat menemukan aturan untuk dihapus."
"Update Prices Using the Following Information","Perbarui Harga Menggunakan Informasi Berikut"
"Update product's %s %s: %s","Perbarui produk %s %s: %s"
"Website","Situs"
"Websites","Situs"
"Wrong rule specified.","peraturan salah yang ditentukan."
"Yes","Ya"
