"-- Please select --","-- Silakan Pilih --"
"Allowed Currencies","Ijinkan mata uang"
"Base Currency","Mata uang dasar"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"")."
"Can\'t convert rate from ""%s-%s"".","Can\'t convert rate from ""%s-%s""."
"Cannot retrieve rate from %s.","Tidak dapat menerima tarif dari %s."
"Connection Timeout in Seconds","Koneksi terputus dalam beberapa detik"
"Continue &raquo;","Lanjut &raquo;"
"Country","Negara"
"Country API","Negara API"
"Country and Format Type combination should be unique","Negara dan Format Jenis kombinasi harus unik"
"Currency","Mata Uang"
"Currency Options","Pilihan mata uang"
"Currency Setup","Pengaturan mata uang"
"Currency Update Warnings","Peringatan perbaruan mata uang"
"Default Display Currency","Tampilan standar mata uang"
"Directory","Direktori"
"Display not required State","Display not required State"
"Enabled","Aktif"
"Error Email Recipient","Error Penerima Email"
"Error Email Sender","Error Pengirim Email"
"Error Email Template","Error template Email"
"FATAL ERROR:","KESALAHAN FATAL:"
"Frequency","Frekuensi"
"Installed Currencies","Mata uang yang terinstal"
"Invalid Import Service specified.","Spesifik layanan impor tidak valid."
"Invalid country code: %s","Kode negara tidak valid: %s"
"Invalid rates received","Kurs yang diterima Salah"
"Invalid target currency.","Invalid target currency."
"List of countries","Daftar negara"
"List of regions in specified country","Daftar wilayah dalam negara tertentu"
"Postal Code is Optional for the following countries","Kode Pos adalah opsional pada Negara - Negara dibawah ini"
"Region","Wilayah"
"Region API","Wilayah API"
"Scheduled Import Settings","Jadwal pengaturan impor"
"Select Your Currency","Pilih Kurs Anda"
"Service","Layanan"
"Start Time","Waktu Mulai"
"State is required for","State is required for"
"State/Province","Negara/Provinsi"
"States Options","States Options"
"Unable to initialize the import model.","Tidak dapat mengenal model impor."
"Undefined rate from ""%s-%s"".","Undefined rate from ""%s-%s""."
"WARNING:","PERINGATAN:"
"Webservicex","Webservicex"
"Your current currency is: %s","Mata uang anda sekarang: %s"
